waypoint_mat = 
[	-50 -50 -200, 
	49.2252855685552 -37.5765260961893 -200, 
	149.195021058852 -35.1164476421359 -200, 
	238.637439929864 9.60551236078077 -200, 
	258.518737096912 107.609257304306 -200, 
	344.474093371518 158.713823907552 -200, 
	329.149587044455 257.532645524852 -200, 
	321.673155217428 357.25276870536 -200, 
	331.628166483165 456.756023680758 -200, 
	361.488909248511 552.193626550392 -200, 
	439.471915093234 614.792754335225 -200, 
	445.111651659542 714.633594533326 -200, 
	541.629629772036 740.792338789812 -200, 
	611.759887408206 812.078711708375 -200, 
	668.983091422983 894.087887550369 -200, 
	763.477817019312 926.810155724726 -200, 
	738.156729268905 1023.5512665057 -200, 
	753.398881277168 1122.38282422972 -200, 
	752.326123547782 1222.37707001844 -200, 
	833.264286522141 1281.10537473036 -200, 
	932.543923326343 1269.12398432583 -200, 
	1016.35435752664 1323.67497990939 -200, 
	1088.30054742977 1393.12817104142 -200, 
	1184.08829992611 1421.84587414769 -200, 
	1278.73380251526 1454.1294433377 -200, 
	1351.41567796897 1385.44651255769 -200, 
	1382.94600142302 1290.54741507577 -200, 
	1482.54430154833 1299.50166614157 -200, 
	1547.22421920176 1223.23563010754 -200, 
	1576.22646118734 1127.53364496716 -200, 
	2325 2325 -200];

numi = 5;

numj = 5;

listofblockdims_z = 
[	345 384 366 10 212, 
	304 59 139 198 341, 
	19 131 242 66 72, 
	256 265 187 132 195, 
	338 158 287 10 222];

listofpeakdims = 
[	1.14683859213255 1.14794292408042 1.13133176255506 1.18019823515788 1.18439586823806, 
	1.10464469888248 1.174807286961 1.15355567520019 1.19360297366511 1.17972340639681, 
	1.11307250328828 1.10652107920032 1.15484489221126 1.17002457308117 1.16035230003763, 
	1.16619127355516 1.12931467476301 1.16337055342738 1.15700177692343 1.11412832757924, 
	1.16216623811051 1.16863928837702 1.16300536391791 1.15021991566755 1.15526704457589];

StreetGap = 245;

waypoint_list = 
[	-50 -50 -200 -1 0 0, 
	49.2252855685552 -37.5765260961893 -200 1 100 0, 
	149.195021058852 -35.1164476421359 -200 2 200 0, 
	238.637439929864 9.60551236078077 -200 3 300 0, 
	258.518737096912 107.609257304306 -200 4 400 0, 
	48.0154574986017 -30.1765267589205 -200 1 100 0, 
	344.474093371518 158.713823907552 -200 5 500 0, 
	444.380045170629 154.377835541127 -200 7 600 0, 
	329.149587044455 257.532645524852 -200 7 600 0, 
	318.767744495707 187.421894821556 -200 5 500 0, 
	321.673155217428 357.25276870536 -200 9 700 0, 
	331.628166483165 456.756023680758 -200 11 800 0, 
	361.488909248511 552.193626550392 -200 12 900 0, 
	439.471915093234 614.792754335225 -200 13 1000 0, 
	445.111651659542 714.633594533326 -200 14 1100 0, 
	416.789264542068 810.538977009847 -200 15 1200 0, 
	443.469814853817 172.850553663728 -200 7 600 0, 
	541.629629772036 740.792338789812 -200 15 1200 0, 
	611.759887408206 812.078711708375 -200 18 1300 0, 
	668.983091422983 894.087887550369 -200 19 1400 0, 
	631.661256110074 784.315967532461 -200 18 1300 0, 
	435.977391687276 714.731677213977 -200 14 1100 0, 
	763.477817019312 926.810155724726 -200 20 1500 0, 
	738.156729268905 1023.5512665057 -200 23 1600 0, 
	753.398881277168 1122.38282422972 -200 24 1700 0, 
	725.436663284821 819.045969104737 -200 21 1400 0, 
	752.326123547782 1222.37707001844 -200 25 1800 0, 
	833.264286522141 1281.10537473036 -200 27 1900 0, 
	391.599893589933 647.552572758866 -200 13 1000 0, 
	820.778680096418 1380.32286125457 -200 28 2000 0, 
	932.543923326343 1269.12398432583 -200 28 2000 0, 
	1016.35435752664 1323.67497990939 -200 31 2100 0, 
	1088.30054742977 1393.12817104142 -200 32 2200 0, 
	826.711733368879 1070.00566617735 -200 24 1700 0, 
	1184.08829992611 1421.84587414769 -200 33 2300 0, 
	590.530189777173 832.0786767559 -200 20 1500 0, 
	932.967016254562 1288.81028770221 -200 28 2000 0, 
	1278.73380251526 1454.1294433377 -200 35 2400 0, 
	1275.71473526066 1461.90328729288 -200 35 2400 0, 
	1351.41567796897 1385.44651255769 -200 38 2500 0, 
	382.962959547328 532.28979715725 -200 14 1100 0, 
	787.810192771189 1216.27564419622 -200 25 1800 0, 
	535.933475629421 711.768354256421 -200 22 1200 0, 
	1337.71928441821 1540.35987327371 -200 39 2500 0, 
	1382.94600142302 1290.54741507577 -200 40 2600 0, 
	1482.54430154833 1299.50166614157 -200 45 2700 0, 
	1547.22421920176 1223.23563010754 -200 46 2800 0, 
	350.819611756424 885.692186597606 -200 16 1300 0, 
	1085.80357534959 1395.625005231 -200 32 2200 0, 
	1165.44813708323 1323.59851118466 -200 35 2400 0, 
	1576.22646118734 1127.53364496716 -200 47 2900 0, 
	2325 2325 -200 51 4312.29865250296 1];

